X,Y
37.209898,35.819087
37.373914,35.640784
37.171249,35.784139
37.204082,35.788528
37.162647,36.00889
37.270523,35.805198
37.148224,35.809941
37.111538,35.928156
37.20946,35.764239
37.14308,35.695313
37.241203,35.919865
37.274604,36.004721
37.327568,35.555612
37.196409,36.020568
37.145309,35.781497
37.310394,35.73807
37.158858,35.762783
37.258651,35.970102
37.116444,35.864386
37.291946,35.735015
37.228464,35.790747
37.062738,35.887423
37.203405,35.589174
37.249203,35.578947
37.183226,35.723283
37.210255,35.86467
37.116542,35.698651
37.105321,35.961609
37.20961,35.938043
37.363463,35.712766
37.231691,35.970779
37.355179,35.741734
37.275946,35.873052
37.183229,35.903289
37.221828,35.990542
37.233149,35.932062
37.135302,35.773606
37.171565,35.738619
37.186641,35.801541
37.306174,35.855797
37.169876,35.980142
37.245191,35.851199
37.277143,35.833715
37.152248,35.905866
37.160995,35.670054
37.139068,35.95978
37.1344,35.924316
37.262156,35.671136
37.33638,35.752006
37.313211,35.828958
37.216183,35.974204
37.251921,35.834676
37.157228,35.807648
37.254068,35.937983
37.14774,35.72743
37.110676,35.6772
37.240611,35.819139
37.203014,35.551313
37.262558,35.564079
37.236292,35.57159
37.206147,35.578947
37.399152,35.637196
37.273827,35.680255
37.183777,35.698207
37.139289,35.73424
37.254314,35.757058
37.247917,35.770201
37.298408,35.787383
37.258238,35.788656
37.230775,35.864766
37.149299,35.930806
37.266494,35.93293
37.337047,35.524102
37.363946,35.531868
37.285757,35.554825
37.16175,35.60936
37.289848,35.694962
37.133203,35.729568
37.209388,35.7505
37.229466,35.750507
37.121685,35.877658
37.256114,35.891517
37.153866,35.945519
37.21666,35.956136
37.273603,35.990466
37.191934,35.997505
37.245786,36.019513
37.044294,36.292225
37.290543,36.205985
37.404031,36.212153
37.340162,36.208283
37.123898,36.328887
36.995527,36.315059
37.05911,36.323197
37.273366,36.255831
37.335105,36.249767
37.088555,36.281405
37.325998,36.225939
37.019209,36.264474
37.308233,36.286195
37.081293,36.254313
36.999564,36.270695
37.054864,36.247961
37.36212,36.203668
37.033622,36.24496
37.279783,36.223493
37.100578,36.30528
37.308385,36.265419
37.303745,36.246832
36.799957,36.293383
36.851091,36.285021
36.975555,36.228825
36.99985,36.220066
36.847565,36.205407
36.870475,36.197207
36.948193,36.216821
36.993575,36.202098
36.963306,36.196105
36.910374,36.202478
36.980887,36.203413
36.883094,36.300251
36.94627,36.2653
36.884737,36.228956
36.916074,36.226988
36.879976,36.293835
36.83597,36.324655
36.980072,36.194108
36.935282,36.244447
36.922696,36.247337
36.916859,36.272837
